Day,Time,activity,Tally,Comments
9/25,9:00 AM,scrolling,3,NYT
9/25,9:00 AM,time scrolling,7,NYT
9/25,9:00 AM,pick up phone,0,
9/25,9:00 AM,check gmail,0,
9/25,9:02 AM,time scrolling,4,IG
9/25,10:13 AM,time scrolling,8,YouTube
9/25,10:30 AM,pick up phone,0,
9/25,10:30 AM,check gmail,5,
9/25,10:30 AM,scrolling,2,
9/25,12:00 PM,pick up phone,2,
9/25,12:00 PM,check gmail,5,
9/25,12:00 PM,scrolling,0,
9/25,1:30 PM,scrolling,0,
9/25,1:30 PM,pick up phone,0,
9/25,1:30 PM,check gmail,0,
9/25,3:00 PM,scrolling,0,
9/25,3:00 PM,pick up phone,0,
9/25,3:00 PM,check gmail,7,
9/25,4:30 PM,scrolling,0,
9/25,4:30 PM,pick up phone,0,
9/25,4:30 PM,check gmail,2,
9/25,6:00 PM,scrolling,0,
9/25,6:00 PM,pick up phone,0,
9/25,6:00 PM,check gmail,1,
9/25,7:30 PM,scrolling,0,
9/25,7:30 PM,pick up phone,0,
9/25,7:30 PM,check gmail,7,
9/25,9:00 PM,scrolling,0,
9/25,9:00 PM,pick up phone,0,
9/25,9:00 PM,check gmail,0,
9/25,10:30 PM,scrolling,0,
9/25,10:30 PM,pick up phone,0,
9/25,10:30 PM,check gmail,3,
9/25,12:00 AM,scrolling,0,
9/25,12:00 AM,pick up phone,0,
9/26,12:00 AM,check gmail,7,
9/26,9:00 AM,scrolling,1,
9/26,9:00 AM,check gmail,0,
9/26,9:00 AM,pick up phone,1,
9/26,9:26 AM,time scrolling,3,IG
9/26,10:30 AM,check gmail,4,
9/26,10:30 AM,scrolling,1,"falling asleep, wanting to stay engaged"
9/26,10:30 AM,pick up phone,0,
9/26,12:00 PM,check gmail,3,
9/26,1:30 PM,scrolling,0,
9/26,1:30 PM,pick up phone,0,
9/26,1:30 PM,check gmail,0,
9/26,3:00 PM,scrolling,0,
9/26,3:00 PM,pick up phone,0,
9/26,3:00 PM,check gmail,2,
9/26,3:40 PM,time scrolling,0.5,Facebook
9/26,4:00 PM,time scrolling,11,"IG, YouTube"
