Title,URL,Visit Count,Last Visit Time
"The New York Times - Breaking News, US News, World News and Videos",https://www.nytimes.com/,88,2024-10-04 21:03:14.921710
NYT Cooking - Recipes and Cooking Guides From The New York Times,https://cooking.nytimes.com/,6,2024-07-24 03:39:59.441987
The Crossword - The New York Times,https://www.nytimes.com/crosswords,40,2024-09-29 16:34:04.069973
"September 29, 2024 Daily Mini Crossword Puzzle",https://www.nytimes.com/crosswords/game/mini,40,2024-09-29 16:46:50.433844
Wordle - The New York Times,https://www.nytimes.com/games/wordle/index.html,41,2024-09-29 16:33:59.120839
Connections - The New York Times,https://www.nytimes.com/games/connections,23,2024-09-29 16:34:02.198053
Strands: Uncover Words. - The New York Times,http://nytimes.com/games/strands,33,2024-08-26 20:16:21.229169
Strands: Uncover Words. - The New York Times,https://nytimes.com/games/strands,33,2024-08-26 20:16:21.229169
Strands: Uncover Words. - The New York Times,https://www.nytimes.com/games/strands,40,2024-09-29 16:34:00.615531
Alec Baldwin Manslaughter Trial in ‘Rust’ Shooting Dismissed Over Evidence - The New York Times,https://www.nytimes.com/2024/07/12/arts/rust-trial-pause-alec-baldwin-shooting.html,1,2024-07-13 00:41:13.025114
Ocasio-Cortez Loses the Democratic Socialists’ Endorsement Over Israel - The New York Times,https://www.nytimes.com/2024/07/11/us/politics/aoc-dsa-endorsement.html,1,2024-07-13 00:45:43.167773
The 200+ Best Amazon Prime Day Deals of 2024 | Reviews by Wirecutter,https://www.nytimes.com/wirecutter/money/best-amazon-prime-day-deals-live-updates-2024-0716/,2,2024-07-17 00:23:13.858633
The 200+ Best Amazon Prime Day Deals of 2024 | Reviews by Wirecutter,https://www.nytimes.com/wirecutter/money/best-amazon-prime-day-deals-live-updates-2024-0716/#camera-and-photography-deals,2,2024-07-17 00:25:58.289080
The 200+ Best Amazon Prime Day Deals of 2024 | Reviews by Wirecutter,https://www.nytimes.com/wirecutter/money/best-amazon-prime-day-deals-live-updates-2024-0716/#travel-packing-and-luggage-deals,2,2024-07-17 00:26:04.872058
The 200+ Best Amazon Prime Day Deals of 2024 | Reviews by Wirecutter,https://www.nytimes.com/wirecutter/money/best-amazon-prime-day-deals-live-updates-2024-0716/#outdoor-hiking-and-camping-deals,2,2024-07-17 00:26:09.102169
The 200+ Best Amazon Prime Day Deals of 2024 | Reviews by Wirecutter,https://www.nytimes.com/wirecutter/money/best-amazon-prime-day-deals-live-updates-2024-0716/#health-and-grooming-deals,2,2024-07-17 00:26:12.268583
The 200+ Best Amazon Prime Day Deals of 2024 | Reviews by Wirecutter,https://www.nytimes.com/wirecutter/money/best-amazon-prime-day-deals-live-updates-2024-0716/#home-powering-chargers-and-batteries,2,2024-07-17 00:26:20.698506
What’s the Best City for Renters? - The New York Times,https://www.nytimes.com/2024/07/18/realestate/whats-the-best-city-for-renters.html,1,2024-07-19 17:11:08.798660
"NYT Connections Answers for July 21, 2024 - The New York Times",https://www.nytimes.com/2024/07/20/crosswords/connections-companion-406.html,1,2024-07-21 20:05:45.095048
This Street Was Clogged With Traffic. Now It Belongs to Ping-Pong. - The New York Times,https://www.nytimes.com/2024/07/15/nyregion/open-streets-new-york.html,1,2024-07-23 14:55:22.608304
Why Bicycle Deaths Have Risen in New York City - The New York Times,https://www.nytimes.com/2024/03/05/nyregion/nyc-cyclist-deaths-ebike.html,2,2024-07-23 15:25:30.855572
We Tested Tulip’s Renter-Friendly Boob-Light Cover in 3 of Our Own Homes | Reviews by Wirecutter,https://www.nytimes.com/wirecutter/reviews/tulip-shade-review/,2,2024-07-23 22:25:43.607467
The 5 Best Olive Oils You Can Buy at the Store in 2024 | Reviews by Wirecutter,https://www.nytimes.com/wirecutter/reviews/best-olive-oil/,4,2024-08-26 03:30:20.740603
The 8 Best Sympathy Gifts for 2024 | Reviews by Wirecutter,https://www.nytimes.com/wirecutter/gifts/best-sympathy-gifts/,2,2024-07-23 22:26:04.566650
Search Thousands of Recipes - NYT Cooking,https://cooking.nytimes.com/search?q=vietnamese,2,2024-07-23 23:07:13.238390
Search Thousands of Recipes - NYT Cooking,https://cooking.nytimes.com/search?q=gochujang,2,2024-07-24 03:40:05.430312
"Today’s Wordle Answer for Saturday, July 27, 2024 - The New York Times",https://www.nytimes.com/2024/07/26/crosswords/wordle-review-1135.html,2,2024-07-28 00:24:09.816728
"WordleBot: Your Daily, Personalized Wordle Score - The New York Times",https://www.nytimes.com/interactive/2022/upshot/wordle-bot.html,2,2024-07-28 00:24:05.282637
The 3 Best Yoga Mats of 2024 | Reviews by Wirecutter,https://www.nytimes.com/wirecutter/reviews/best-yoga-mats/,2,2024-07-29 00:44:26.309983
The 6 Best White Sneakers of 2024 | Reviews by Wirecutter,https://www.nytimes.com/wirecutter/reviews/best-white-sneakers/,2,2024-07-29 00:44:27.512632
‘The Interview’: Melinda French Gates Is Ready to Take Sides - The New York Times,https://www.nytimes.com/2024/07/28/magazine/melinda-french-gates-interview.html,2,2024-07-29 02:20:00.287253
Southport Stabbing: At Least 8 People Injured in English Seaside Town Attack - The New York Times,https://www.nytimes.com/2024/07/29/world/europe/southport-stabbing-uk.html,1,2024-07-29 16:47:15.240372
"Can Urban Design Have a Gender? In This Vienna District, the Answer Is Yes. - The New York Times",https://www.nytimes.com/2024/07/17/realestate/vienna-aspern-seestadt-gender.html,1,2024-07-30 18:49:57.450636
"Today’s Wordle Answer for August 1, 2024 - The New York Times",https://www.nytimes.com/2024/07/31/crosswords/wordle-review-1139.html,1,2024-08-01 17:44:24.762794
Paris Olympics: Who Leads the Medal Count? - The New York Times,https://www.nytimes.com/interactive/2024/07/29/upshot/olympics-medal-table-paris.html,2,2024-08-01 20:22:36.977648
